prop,ext,type,status
http://www.wikidata.org/entity/P650,http://dbpedia.org/ontology/rkdArtistsId,Equiv_Prop,
http://www.wikidata.org/entity/P1083,http://dbpedia.org/ontology/seatingCapacity,Equiv_Prop,
http://www.wikidata.org/entity/P26,http://dbpedia.org/ontology/spouse,Equiv_Prop,
http://www.wikidata.org/entity/P2048,http://dbpedia.org/ontology/Weapon/height,Ext_Subprop,
http://www.wikidata.org/entity/P2047,http://dbpedia.org/ontology/Work/runtime,Equiv_Prop,
http://www.wikidata.org/entity/P856,http://dbpedia.org/property/homepage,Equiv_Prop,
http://www.wikidata.org/entity/P483,http://fr.dbpedia.org/property/enregistréLieu,Equiv_Prop,
http://www.wikidata.org/entity/P371,http://fr.dbpedia.org/property/présentateur,Equiv_Prop,
http://www.wikidata.org/entity/P162,http://fr.dbpedia.org/property/producteur,Equiv_Prop,
http://www.wikidata.org/entity/P580,http://gov.genealogy.net/ontology.owl#begin,Equiv_Prop,
http://www.wikidata.org/entity/P582,http://gov.genealogy.net/ontology.owl#end,Equiv_Prop,
http://www.wikidata.org/entity/P2046,http://gov.genealogy.net/ontology.owl#hasArea,Equiv_Prop,
http://www.wikidata.org/entity/P50,http://gov.genealogy.net/ontology.owl#hasAuthor,Equiv_Prop,
http://www.wikidata.org/entity/P140,http://gov.genealogy.net/ontology.owl#hasDenomination,Equiv_Prop,
http://www.wikidata.org/entity/P1538,http://gov.genealogy.net/ontology.owl#hasHouseholds,Equiv_Prop,
http://www.wikidata.org/entity/P957,http://gov.genealogy.net/ontology.owl#hasISBN,Ext_Superprop,
http://www.wikidata.org/entity/P212,http://gov.genealogy.net/ontology.owl#hasISBN,Ext_Superprop,
http://www.wikidata.org/entity/P2561,http://gov.genealogy.net/ontology.owl#hasName,Equiv_Prop,
http://www.wikidata.org/entity/P1082,http://gov.genealogy.net/ontology.owl#hasPopulation,Equiv_Prop,
http://www.wikidata.org/entity/P281,http://gov.genealogy.net/ontology.owl#hasPostalCode,Equiv_Prop,
http://www.wikidata.org/entity/P1476,http://gov.genealogy.net/ontology.owl#hasTitle,Equiv_Prop,
http://www.wikidata.org/entity/P2048,http://gov.genealogy.net/ontology.owl#height,Ext_Subprop,
http://www.wikidata.org/entity/P276,http://gov.genealogy.net/ontology.owl#isLocatedIn,Equiv_Prop,
http://www.wikidata.org/entity/P361,http://gov.genealogy.net/ontology.owl#isPartOf,Equiv_Prop,
http://www.wikidata.org/entity/P407,http://gov.genealogy.net/ontology.owl#language,Equiv_Prop,
http://www.wikidata.org/entity/P625,http://gov.genealogy.net/ontology.owl#latitude,Ext_Subprop,
http://www.wikidata.org/entity/P625,http://gov.genealogy.net/ontology.owl#longitude,Ext_Subprop,
http://www.wikidata.org/entity/P248,http://gov.genealogy.net/ontology.owl#sourceRef,Equiv_Prop,
http://www.wikidata.org/entity/P585,http://gov.genealogy.net/ontology.owl#time,Equiv_Prop,
http://www.wikidata.org/entity/P3962,http://gs1.org/voc/gtin,Equiv_Prop,
http://www.wikidata.org/entity/P840,http://id.loc.gov/entities/relationships/setting,Ext_Superprop,
http://www.wikidata.org/entity/P2408,http://id.loc.gov/entities/relationships/setting,Ext_Superprop,
http://www.wikidata.org/entity/P2061,http://id.loc.gov/ontologies/bibframe/aspectRatio,Equiv_Prop,
