item,pred,ext
http://www.wikidata.org/entity/Q12045647,http://www.wikidata.org/prop/direct/P2888,https://patents.google.com/?q=E04H4/0012
http://www.wikidata.org/entity/Q120647861,http://www.wikidata.org/prop/direct/P1709,https://schema.org/LodgingBusiness
http://www.wikidata.org/entity/Q121594,http://www.wikidata.org/prop/direct/P1709,http://id.loc.gov/entities/roles/professor
http://www.wikidata.org/entity/Q121618449,http://www.wikidata.org/prop/direct/P2888,https://knowyourmeme.com/search?q=tags%3A%28%22hapas%22%29
http://www.wikidata.org/entity/Q121998,http://www.wikidata.org/prop/direct/P1709,http://dbpedia.org/ontology/Ambassador
http://www.wikidata.org/entity/Q123005968,http://www.wikidata.org/prop/direct/P1709,http://archaeology.link/ontology#ActorEntity
http://www.wikidata.org/entity/Q123005968,http://www.wikidata.org/prop/direct/P2888,http://archaeology.link/ontology#ActorEntity
http://www.wikidata.org/entity/Q1235234,http://www.wikidata.org/prop/direct/P2888,http://purl.org/spar/fabio/DocumentRepository
http://www.wikidata.org/entity/Q12366139,http://www.wikidata.org/prop/direct/P2888,http://purl.obolibrary.org/obo/ENVO_00000295
http://www.wikidata.org/entity/Q124059801,http://www.wikidata.org/prop/direct/P1709,https://dbpedia.org/ontology/AmericanFootballLeague
http://www.wikidata.org/entity/Q124081236,http://www.wikidata.org/prop/direct/P1709,https://schema.org/EntertainmentBusiness
http://www.wikidata.org/entity/Q12420428,http://www.wikidata.org/prop/direct/P1709,http://id.cabi.org/cabt/7123
http://www.wikidata.org/entity/Q12420428,http://www.wikidata.org/prop/direct/P1709,http://lemac.sgcb.mcu.es/Autoridades/LEMAC201200634/concept
http://www.wikidata.org/entity/Q1264690,http://www.wikidata.org/prop/direct/P2888,https://data.niod.nl/WO2_Thesaurus/2028
http://www.wikidata.org/entity/Q12773225,http://www.wikidata.org/prop/direct/P2888,https://finto.fi/allars/sv/page/Y26284
http://www.wikidata.org/entity/Q12840545,http://www.wikidata.org/prop/direct/P1709,http://dbpedia.org/ontology/HandballPlayer
